PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, BARA
Station name, Barahona        
Begin Date, 2011-01-01
End Date, 2019-08-02
Release Date, 2019-08-03
Source file, BARA.cwu.nam08.pos
Offset from source file, 7.61 mm North, 34.06 mm East, 14.96 mm Vertical
Reference position, 18.2086986660 North Latitude, -71.0982274115 East Longitude, 6.74862 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2011-01-01,0.00, 0.00, 0.00, 1.68, 1.84, 7.93, repro,
2011-01-02,0.47, 0.20, 7.14, 1.67, 1.91, 7.77, repro,
2011-01-03,-0.15, 0.88, 5.97, 1.77, 1.93, 8.19, repro,
2011-01-04,1.31, -0.37, -3.31, 1.66, 1.87, 7.69, repro,
2011-01-05,1.02, 0.67, 5.37, 1.59, 1.8, 7.35, repro,
2011-01-06,0.85, 0.85, 4.34, 1.61, 1.8, 7.53, repro,
2011-01-07,0.80, 0.50, 13.10, 1.61, 1.86, 7.54, repro,
2011-01-08,0.49, 1.79, 10.68, 1.58, 1.84, 7.42, repro,
2011-01-09,0.28, 1.14, 11.68, 1.61, 1.87, 7.52, repro,
2011-01-10,-0.59, 3.50, 3.82, 1.64, 1.85, 7.72, repro,
2011-01-11,-1.86, 1.61, 11.10, 1.67, 1.92, 7.95, repro,
2011-01-12,-0.52, 2.20, 8.05, 1.67, 1.87, 7.7, repro,
2011-01-13,-1.22, 1.99, -3.32, 1.62, 1.84, 7.72, repro,
2011-01-14,-0.15, -0.56, 14.88, 1.58, 1.8, 7.39, repro,
2011-01-15,0.18, -0.77, 4.33, 1.6, 1.86, 7.53, repro,
2011-01-16,0.46, 1.63, 4.31, 1.58, 1.8, 7.34, repro,
2011-01-17,-0.80, -0.51, 6.35, 1.57, 1.8, 7.4, repro,
2011-01-18,-1.51, -0.91, -3.63, 1.64, 1.81, 7.63, repro,
2011-01-19,-0.37, -1.55, 4.53, 1.64, 1.87, 7.72, repro,
2011-01-20,-1.45, -0.64, 7.11, 1.6, 1.8, 7.44, repro,
2011-01-21,-0.56, -0.19, 15.17, 1.57, 1.8, 7.38, repro,
2011-01-22,0.07, 1.70, 10.66, 1.57, 1.79, 7.33, repro,
2011-01-23,-0.02, 1.22, 13.05, 1.6, 1.81, 7.42, repro,
2011-01-24,-0.94, 4.00, -2.26, 1.63, 1.81, 7.59, repro,
2011-01-25,-1.07, 1.09, 14.04, 1.6, 1.8, 7.4, repro,
2011-01-26,2.22, -0.16, 3.10, 1.61, 1.88, 7.61, repro,
2011-01-27,-0.84, -0.21, 3.27, 1.62, 1.82, 7.49, repro,
2011-01-28,-0.48, 1.24, 1.87, 1.71, 2, 7.96, repro,
2011-01-29,-0.20, 1.52, -0.76, 1.67, 1.85, 7.82, repro,
2011-01-30,-0.91, 0.26, 7.93, 1.59, 1.81, 7.41, repro,
2011-01-31,-1.78, -0.05, -2.75, 1.63, 1.84, 7.54, repro,
2011-02-01,-0.90, 0.00, 7.72, 1.67, 1.86, 7.67, repro,
2011-02-02,-1.09, 2.18, -3.55, 1.66, 1.87, 7.69, repro,
2011-02-03,-1.40, 1.93, 0.98, 1.74, 1.89, 7.95, repro,
2011-02-04,1.79, 1.80, 7.92, 1.79, 1.92, 8.36, repro,
2011-02-05,3.43, 1.52, 13.70, 1.67, 1.87, 7.72, repro,
2011-02-06,0.52, 0.89, 11.49, 1.74, 1.9, 8.01, repro,
2011-02-07,-4.44, 1.13, 24.04, 1.6, 1.86, 7.48, repro,
2011-02-08,-0.12, 1.00, -4.13, 1.66, 1.86, 7.67, repro,
2011-02-09,-1.44, 2.17, 13.59, 1.61, 1.84, 7.51, repro,
2011-02-10,1.11, 3.33, 15.35, 1.76, 1.98, 8.09, repro,
2011-02-11,1.20, 4.00, -5.01, 1.63, 1.86, 7.55, repro,
2011-02-12,1.20, 1.30, 4.04, 1.7, 1.95, 7.91, repro,
2011-02-13,3.02, 0.69, 9.02, 1.67, 1.94, 7.75, repro,
2011-02-14,-0.54, 1.95, 9.89, 1.73, 2.11, 8.23, repro,
2011-02-15,2.18, 5.04, 19.15, 1.7, 1.97, 7.98, repro,
2011-02-16,0.70, 1.36, 9.22, 1.78, 1.91, 8.15, repro,
2011-02-17,-0.05, 0.40, 6.65, 1.68, 1.89, 7.72, repro,
2011-02-18,-1.37, 1.60, 10.38, 1.68, 1.9, 7.81, repro,
2011-02-19,-1.43, 3.22, 15.86, 1.62, 1.87, 7.55, repro,
2011-02-20,-0.38, 1.33, 10.55, 1.6, 1.84, 7.46, repro,
2011-02-21,-0.05, 3.63, 15.69, 1.61, 1.86, 7.53, repro,
2011-02-22,-0.27, 1.97, 10.79, 1.59, 1.84, 7.39, repro,
2011-02-23,0.55, 2.19, 15.55, 1.67, 1.9, 7.68, repro,
2011-02-24,-1.87, 2.66, 12.00, 1.6, 1.86, 7.52, repro,
2011-02-25,-0.26, 5.43, 16.35, 1.6, 1.85, 7.48, repro,
2011-02-26,-0.93, 1.86, 11.98, 1.74, 2, 8.24, repro,
2011-02-27,-0.84, 0.77, 12.68, 1.63, 1.91, 7.52, repro,
2011-02-28,-1.06, 3.18, 10.52, 1.59, 1.84, 7.35, repro,
2011-03-01,-0.39, 2.61, 12.41, 1.59, 1.85, 7.46, repro,
2011-03-02,0.35, 5.50, 16.45, 1.58, 1.85, 7.42, repro,
2011-03-03,1.08, 4.40, 13.77, 1.58, 1.84, 7.43, repro,
2011-03-04,-3.23, 4.49, 14.25, 1.74, 2.02, 8.1, repro,
2011-03-05,-0.81, 5.57, 16.18, 1.67, 1.94, 7.95, repro,
2011-03-06,1.32, 3.70, 3.28, 1.81, 2.05, 8.69, repro,
2011-03-07,-1.32, 5.47, 14.35, 1.72, 1.94, 8.07, repro,
2011-03-08,0.17, 4.00, 18.21, 1.6, 1.87, 7.45, repro,
2011-03-09,-0.01, 4.10, 10.97, 1.61, 1.86, 7.5, repro,
2011-03-10,0.98, 5.62, 17.01, 1.6, 1.86, 7.49, repro,
2011-03-11,0.54, 3.28, 9.42, 1.6, 1.86, 7.45, repro,
2011-03-12,0.48, 5.54, 6.86, 1.62, 1.92, 7.6, repro,
2011-03-13,-0.78, 4.67, 16.14, 1.58, 1.83, 7.37, repro,
2011-03-14,-0.48, 6.07, 9.09, 1.6, 1.84, 7.39, repro,
2011-03-15,-1.30, 4.28, 3.53, 1.66, 1.92, 7.8, repro,
2011-03-16,-0.28, 5.47, 14.94, 1.65, 1.96, 7.65, repro,
2011-03-17,-0.43, 3.08, 12.61, 1.62, 1.85, 7.62, repro,
2011-03-18,-0.89, 3.84, 14.16, 1.74, 2.05, 8.05, repro,
2011-03-19,1.52, 3.63, 8.92, 1.62, 1.87, 7.55, repro,
2011-03-20,-1.26, 3.03, 10.54, 1.58, 1.85, 7.42, repro,
2011-03-21,-0.09, 4.02, 21.85, 1.65, 1.96, 7.64, repro,
2011-03-22,-0.05, 3.51, 8.93, 1.69, 2.08, 7.96, repro,
2011-03-23,-0.65, 4.27, 7.32, 1.7, 1.95, 7.86, repro,
2011-03-24,-2.12, 2.91, 9.34, 1.72, 1.99, 7.94, repro,
2011-03-25,-2.41, 4.43, 5.56, 1.78, 1.99, 8.15, repro,
2011-03-26,-1.56, 8.70, 19.76, 1.81, 2.19, 8.76, repro,
2011-03-27,-2.38, 4.01, -0.08, 1.62, 1.9, 7.71, repro,
2011-03-28,-1.48, 5.15, 1.37, 1.71, 2.02, 8.03, repro,
2011-03-29,-0.53, 5.16, 4.96, 1.78, 2.01, 8.24, repro,
2011-03-30,-2.37, 4.69, 9.62, 1.64, 1.91, 7.65, repro,
2011-03-31,0.23, 4.75, 14.73, 1.91, 2.44, 9.26, repro,
2011-05-01,-0.79, 5.78, 2.35, 1.61, 1.9, 7.53, repro,
2011-05-02,0.36, 5.53, 10.63, 1.66, 1.89, 7.66, repro,
2011-05-03,-0.80, 5.87, 6.58, 1.63, 1.88, 7.71, repro,
2011-05-04,-1.15, 5.12, -2.77, 1.68, 2, 7.9, repro,
2011-05-05,-1.05, 8.26, 11.33, 1.73, 2.04, 8.17, repro,
2011-05-06,-1.30, 6.94, 5.18, 1.61, 1.87, 7.52, repro,
2011-05-07,-0.37, 7.28, 13.02, 1.61, 1.85, 7.71, repro,
2011-05-08,-1.25, 7.92, 17.32, 1.65, 1.88, 7.94, repro,
2011-05-09,-0.26, 8.09, 8.18, 1.63, 1.9, 7.86, repro,
2011-05-10,4.49, 2.50, 24.80, 1.68, 2.05, 8.09, repro,
2011-05-11,0.76, 7.03, 8.79, 1.69, 1.93, 8.08, repro,
