PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, LVEG
Station name, LaVega          
Begin Date, 2011-01-01
End Date, 2019-08-02
Release Date, 2019-08-03
Source file, LVEG.cwu.nam08.pos
Offset from source file, 5.29 mm North, 18.67 mm East, 9.81 mm Vertical
Reference position, 19.2227153684 North Latitude, -70.5310861961 East Longitude, 78.57825 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2011-01-01,0.00, 0.00, 0.00, 1.61, 1.78, 7.69, repro,
2011-01-02,-0.64, -0.61, -1.22, 1.63, 1.86, 7.89, repro,
2011-01-03,-1.14, -0.86, 1.21, 1.61, 1.79, 7.7, repro,
2011-01-04,-0.09, -0.14, -0.73, 1.68, 1.94, 7.92, repro,
2011-01-05,1.31, 0.97, 8.13, 1.57, 1.77, 7.43, repro,
2011-01-06,-0.16, 2.05, -1.16, 1.69, 1.98, 8.08, repro,
2011-01-07,-1.35, 0.94, 3.16, 1.78, 1.96, 8.53, repro,
2011-01-08,-3.43, 1.49, -2.41, 1.61, 1.92, 7.73, repro,
2011-01-09,-2.76, -0.54, 10.46, 1.78, 2, 8.32, repro,
2011-01-10,0.21, 2.63, -0.48, 1.82, 1.96, 8.73, repro,
2011-01-11,-1.19, 0.10, 3.10, 1.63, 1.81, 7.88, repro,
2011-01-12,-0.83, -2.08, -0.66, 1.59, 1.8, 7.56, repro,
2011-01-13,0.42, 1.53, -13.37, 1.55, 1.75, 7.4, repro,
2011-01-14,0.46, -1.15, 4.73, 1.66, 2.02, 7.89, repro,
2011-01-15,-1.06, -0.52, -4.76, 1.57, 1.77, 7.42, repro,
2011-01-16,1.44, -0.47, -2.01, 1.61, 1.8, 7.56, repro,
2011-01-17,0.58, 0.57, -2.37, 1.58, 1.78, 7.47, repro,
2011-01-18,0.69, -1.17, -0.28, 1.6, 1.77, 7.58, repro,
2011-01-19,-0.64, 0.53, -10.79, 1.6, 1.77, 7.59, repro,
2011-01-20,-1.73, -2.21, -5.43, 1.57, 1.76, 7.45, repro,
2011-01-21,0.12, 0.29, 1.58, 1.57, 1.77, 7.42, repro,
2011-01-22,-1.17, -0.79, -3.51, 1.57, 1.77, 7.43, repro,
2011-01-23,-0.20, -1.32, 11.73, 1.58, 1.86, 7.61, repro,
2011-01-24,2.34, -2.29, 14.25, 1.6, 1.82, 7.66, repro,
2011-01-25,0.32, -0.15, 5.03, 1.56, 1.77, 7.46, repro,
2011-01-26,0.31, -1.48, 4.74, 1.57, 1.84, 7.65, repro,
2011-01-27,-0.53, -1.85, -2.27, 1.6, 1.79, 7.62, repro,
2011-01-28,0.35, -0.55, 1.52, 1.65, 1.83, 7.69, repro,
2011-01-29,-0.32, -1.37, -0.72, 1.59, 1.81, 7.53, repro,
2011-01-30,-0.80, -0.74, 2.12, 1.59, 1.79, 7.57, repro,
2011-01-31,0.15, -1.75, -1.45, 1.63, 1.83, 7.87, repro,
2011-02-01,-0.85, 0.24, -1.29, 1.64, 1.82, 7.67, repro,
2011-02-02,-1.36, 0.79, -9.21, 1.65, 1.84, 7.78, repro,
2011-02-03,0.16, 0.40, -6.26, 1.72, 1.84, 7.98, repro,
2011-02-04,1.14, 0.53, -4.18, 1.83, 1.93, 8.57, repro,
2011-02-05,1.64, -0.61, 9.65, 1.66, 1.91, 7.93, repro,
2011-02-06,1.36, 1.30, 18.32, 1.69, 1.84, 8.07, repro,
2011-02-07,-0.88, -1.18, -0.09, 1.74, 2.05, 8.55, repro,
2011-02-08,-2.05, 0.95, 11.28, 1.6, 1.81, 7.62, repro,
2011-02-09,0.97, 1.36, -2.82, 1.59, 1.82, 7.56, repro,
2011-02-10,2.34, 0.04, 10.81, 1.59, 1.8, 7.64, repro,
2011-02-11,1.96, -0.56, 2.41, 1.6, 1.8, 7.57, repro,
2011-02-12,1.52, 1.96, 2.79, 1.57, 1.79, 7.47, repro,
2011-02-13,1.60, 2.42, 5.29, 1.62, 1.86, 7.7, repro,
2011-02-14,1.08, -0.09, 9.04, 1.63, 1.86, 7.84, repro,
2011-02-15,2.74, -0.57, 8.81, 1.66, 1.86, 7.74, repro,
2011-02-16,2.64, 0.64, 11.07, 1.65, 1.84, 7.73, repro,
2011-02-17,-0.28, -1.54, 6.72, 1.65, 1.85, 7.72, repro,
2011-02-18,3.29, 0.51, 18.50, 1.6, 1.88, 7.56, repro,
2011-02-19,-1.57, -0.59, 5.61, 1.58, 1.8, 7.53, repro,
2011-02-20,0.13, -0.65, 4.88, 1.55, 1.81, 7.53, repro,
2011-02-21,0.35, -0.18, 6.94, 1.59, 1.81, 7.56, repro,
2011-02-22,-0.16, -0.53, 4.82, 1.56, 1.78, 7.43, repro,
2011-02-23,0.30, 0.22, 10.86, 1.58, 1.82, 7.53, repro,
2011-02-24,0.33, 1.50, 8.20, 1.58, 1.81, 7.5, repro,
2011-02-25,-0.17, 2.08, 5.14, 1.56, 1.82, 7.48, repro,
2011-02-26,-0.28, 1.30, 9.34, 1.59, 1.82, 7.71, repro,
2011-02-27,-0.05, 0.19, 1.82, 1.59, 1.87, 7.55, repro,
2011-02-28,0.60, 1.75, 10.36, 1.57, 1.8, 7.46, repro,
2011-03-01,0.80, 2.68, 8.95, 1.64, 1.84, 7.74, repro,
2011-03-02,-0.73, 1.20, 8.06, 1.61, 1.88, 7.69, repro,
2011-03-03,0.26, -0.50, 6.68, 1.57, 1.81, 7.43, repro,
2011-03-04,0.36, 1.20, 0.54, 1.55, 1.8, 7.43, repro,
2011-03-05,0.81, 1.49, 3.33, 1.56, 1.8, 7.48, repro,
2011-03-06,-0.55, 4.79, 2.06, 1.58, 1.85, 7.64, repro,
2011-03-07,-2.30, 0.62, 5.90, 1.64, 1.89, 7.8, repro,
2011-03-08,2.12, -0.54, 10.00, 1.68, 1.91, 7.96, repro,
2011-03-09,0.77, 1.44, 5.38, 1.55, 1.81, 7.47, repro,
2011-03-10,0.34, 3.23, 6.55, 1.55, 1.78, 7.43, repro,
2011-03-11,0.38, 1.70, 3.66, 1.57, 1.78, 7.44, repro,
2011-03-12,1.62, 3.13, 4.65, 1.57, 1.79, 7.47, repro,
2011-03-13,-0.47, 1.84, 4.67, 1.57, 1.78, 7.44, repro,
2011-03-14,-0.90, 3.55, 3.71, 1.63, 1.88, 7.68, repro,
2011-03-15,1.90, 2.63, -1.37, 1.55, 1.79, 7.41, repro,
2011-03-16,1.92, 3.62, 6.18, 1.64, 1.92, 7.89, repro,
2011-03-17,0.13, 0.37, 2.94, 1.56, 1.78, 7.45, repro,
2011-03-18,-0.16, 0.89, 5.90, 1.65, 1.95, 7.76, repro,
2011-03-19,1.04, 1.69, 2.43, 1.61, 1.84, 7.57, repro,
2011-03-20,-0.03, -1.12, -1.85, 1.56, 1.77, 7.4, repro,
2011-03-21,-1.08, 0.66, 7.09, 1.66, 2, 7.85, repro,
2011-03-22,0.32, 0.49, 9.60, 1.63, 1.88, 7.9, repro,
2011-03-23,1.44, 1.41, -3.45, 1.69, 1.91, 8.06, repro,
2011-03-24,-0.36, 0.82, 2.66, 1.65, 1.84, 7.73, repro,
