PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, SPED
Station name, SanPedro        
Begin Date, 2011-01-01
End Date, 2019-08-02
Release Date, 2019-08-03
Source file, SPED.cwu.nam08.pos
Offset from source file, 7.09 mm North, 27.30 mm East, 17.54 mm Vertical
Reference position, 18.4610151265 North Latitude, -69.3055732035 East Longitude, -22.11387 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2011-01-01,0.00, 0.00, 0.00, 1.62, 1.89, 7.94, repro,
2011-01-02,-0.70, 1.29, 12.20, 1.6, 1.82, 7.78, repro,
2011-01-03,-0.43, 1.51, 13.67, 1.66, 1.9, 8.03, repro,
2011-01-04,0.84, -1.56, 4.22, 1.69, 1.98, 8.16, repro,
2011-01-05,-0.37, 0.43, 11.13, 1.61, 1.82, 7.82, repro,
2011-01-06,0.68, 0.35, 12.64, 1.6, 1.83, 7.61, repro,
2011-01-07,-0.95, -0.31, 28.03, 1.59, 1.91, 7.74, repro,
2011-01-08,0.04, 0.81, 12.14, 1.55, 1.78, 7.44, repro,
2011-01-09,-0.76, 2.70, 20.58, 1.56, 1.79, 7.57, repro,
2011-01-10,0.66, 2.80, 19.22, 1.62, 1.89, 8.07, repro,
2011-01-11,2.44, -2.78, 16.79, 1.64, 1.97, 8.17, repro,
2011-01-12,-0.13, 2.95, 6.51, 1.59, 1.83, 7.73, repro,
2011-01-13,-1.51, 0.86, 13.46, 1.57, 1.9, 7.71, repro,
2011-01-14,-2.61, -0.58, 5.26, 1.6, 1.82, 7.67, repro,
2011-01-15,1.07, 2.22, 16.89, 1.58, 1.86, 7.72, repro,
2011-01-16,-0.23, 0.82, 6.43, 1.65, 1.95, 8.19, repro,
2011-01-17,2.12, 0.76, 19.67, 1.57, 1.8, 7.57, repro,
2011-01-18,0.10, 0.54, 4.60, 1.62, 1.83, 7.82, repro,
2011-01-19,-1.00, 0.69, 5.89, 1.6, 1.81, 7.79, repro,
2011-01-20,0.47, 1.33, 11.75, 1.57, 1.8, 7.55, repro,
2011-01-21,0.73, 1.83, 15.65, 1.61, 1.9, 7.7, repro,
2011-01-22,1.46, -0.40, 8.27, 1.58, 1.8, 7.6, repro,
2011-01-23,0.20, -0.53, 15.52, 1.57, 1.81, 7.58, repro,
2011-01-24,-1.01, 1.24, 6.05, 1.75, 2.17, 8.46, repro,
2011-01-25,0.15, 1.97, 11.07, 1.56, 1.8, 7.52, repro,
2011-01-26,1.46, 0.44, 12.79, 1.57, 1.87, 7.69, repro,
2011-01-27,-0.16, 0.55, 12.87, 1.58, 1.81, 7.7, repro,
2011-01-28,1.52, -0.07, 13.16, 1.59, 1.84, 7.79, repro,
2011-01-29,0.62, -0.81, 2.74, 1.6, 1.85, 7.81, repro,
2011-01-30,-2.45, 2.40, 9.51, 1.57, 1.81, 7.57, repro,
2011-01-31,-0.46, 1.99, 8.41, 1.56, 1.81, 7.55, repro,
2011-02-01,1.76, 0.66, 10.81, 1.63, 1.85, 7.81, repro,
2011-02-02,2.06, -0.03, 13.52, 1.7, 2.09, 8.33, repro,
2011-02-03,-0.10, 1.50, 6.95, 1.72, 1.9, 8.24, repro,
2011-02-04,2.17, 1.39, 15.91, 1.73, 1.89, 8.23, repro,
2011-02-05,3.41, -0.95, 21.16, 1.79, 2.12, 8.94, repro,
2011-02-06,0.78, -0.36, 20.31, 1.6, 1.83, 7.65, repro,
2011-02-07,-0.21, 0.49, 16.65, 1.64, 2.03, 7.95, repro,
2011-02-08,1.01, 0.25, 15.16, 1.66, 1.95, 8.19, repro,
2011-02-09,0.45, 0.40, 18.99, 1.6, 1.87, 7.82, repro,
2011-02-10,1.88, 2.56, 26.72, 1.56, 1.83, 7.59, repro,
2011-02-11,1.38, 0.88, 16.20, 1.62, 1.92, 7.88, repro,
2011-02-12,2.52, 1.86, 20.78, 1.58, 1.85, 7.64, repro,
2011-02-13,3.01, 1.91, 15.83, 1.63, 1.88, 7.81, repro,
2011-02-14,-0.15, 0.50, 12.95, 1.59, 1.84, 7.71, repro,
2011-02-15,1.92, -1.37, 12.71, 1.68, 1.96, 8.04, repro,
2011-02-16,5.01, 1.85, 19.59, 1.67, 1.89, 8.03, repro,
2011-02-17,5.00, 2.44, 22.22, 1.81, 2.15, 8.75, repro,
2011-02-18,4.40, -0.68, 9.56, 1.57, 1.86, 7.64, repro,
2011-02-19,1.31, 4.14, 15.71, 1.57, 1.83, 7.6, repro,
2011-02-20,-0.17, 0.88, 14.33, 1.57, 1.84, 7.58, repro,
2011-02-21,0.84, 2.26, 23.39, 1.6, 1.85, 7.72, repro,
2011-02-22,1.73, 0.38, 17.24, 1.56, 1.83, 7.51, repro,
2011-02-23,1.14, 1.65, 24.38, 1.64, 1.91, 7.88, repro,
2011-02-24,0.92, 1.88, 21.52, 1.57, 1.86, 7.65, repro,
2011-02-25,1.06, 2.20, 20.93, 1.61, 1.93, 7.74, repro,
2011-02-26,0.57, 2.37, 20.02, 1.65, 1.94, 7.99, repro,
2011-02-27,1.27, 1.62, 21.87, 1.6, 1.92, 7.65, repro,
2011-02-28,2.19, 1.29, 20.81, 1.56, 1.86, 7.56, repro,
2011-03-01,0.66, 3.59, 33.33, 1.57, 1.86, 7.62, repro,
2011-03-02,0.99, 4.04, 17.60, 1.63, 1.9, 7.79, repro,
2011-03-03,0.10, 0.94, 8.40, 1.56, 1.85, 7.57, repro,
2011-03-04,1.88, 1.47, 16.92, 1.57, 1.83, 7.55, repro,
2011-03-05,-0.48, 5.33, 24.66, 1.55, 1.87, 7.61, repro,
2011-03-06,0.15, 5.99, 17.78, 1.77, 2.22, 8.66, repro,
2011-03-07,-0.72, 1.66, 17.13, 1.57, 1.85, 7.68, repro,
2011-03-08,-1.95, 3.15, 12.00, 1.57, 1.85, 7.65, repro,
2011-03-09,-0.26, 3.06, 19.37, 1.61, 1.98, 8.03, repro,
2011-03-10,2.15, 3.08, 22.07, 1.58, 1.84, 7.62, repro,
2011-03-11,2.83, 1.06, 13.08, 1.58, 1.84, 7.62, repro,
2011-03-12,2.56, 1.41, 14.98, 1.58, 1.86, 7.64, repro,
2011-03-13,0.04, 2.77, 13.80, 1.59, 1.85, 7.64, repro,
2011-03-14,1.47, 2.32, 10.05, 1.7, 2.02, 7.95, repro,
2011-03-15,0.67, 3.12, 20.74, 1.6, 1.92, 7.76, repro,
2011-03-16,1.25, 4.16, 16.63, 1.63, 1.96, 7.78, repro,
2011-03-17,2.17, 5.70, 14.49, 1.64, 1.96, 7.93, repro,
2011-03-18,0.93, 2.33, 10.19, 1.64, 1.98, 7.77, repro,
2011-03-19,1.74, 1.63, 14.16, 1.63, 1.93, 7.78, repro,
2011-03-20,-0.67, 3.18, 8.83, 1.56, 1.82, 7.61, repro,
2011-03-21,-0.30, 3.36, 24.34, 1.65, 2.05, 7.97, repro,
2011-03-22,1.89, 2.18, 13.17, 1.66, 1.92, 7.79, repro,
2011-03-23,1.35, 3.94, 10.00, 1.65, 1.94, 7.92, repro,
2011-03-24,0.01, 2.50, 10.99, 1.68, 1.96, 7.91, repro,
2011-03-25,0.20, 2.52, 14.83, 1.68, 1.95, 7.88, repro,
2011-03-26,-0.20, 4.24, 14.26, 1.81, 2.19, 8.8, repro,
2011-03-27,0.29, 5.07, 9.38, 1.61, 1.86, 7.84, repro,
2011-03-28,0.44, 4.85, 9.17, 1.65, 1.92, 8.04, repro,
2011-03-29,1.36, 2.40, 7.74, 1.66, 1.88, 7.95, repro,
2011-03-30,0.33, 2.53, 10.34, 1.6, 1.87, 7.75, repro,
2011-03-31,2.07, 5.57, 11.93, 1.89, 2.33, 8.96, repro,
2011-05-01,1.75, 4.26, 5.15, 1.56, 1.81, 7.53, repro,
2011-05-02,0.04, 4.31, 6.15, 1.65, 1.96, 7.96, repro,
2011-05-03,0.08, 4.73, 11.30, 1.58, 1.81, 7.61, repro,
2011-05-04,0.13, 6.74, 9.13, 1.61, 1.89, 7.85, repro,
2011-05-05,0.62, 5.15, 11.28, 1.62, 1.91, 7.84, repro,
2011-05-06,1.25, 6.27, 19.77, 1.62, 1.87, 7.7, repro,
2011-05-07,2.20, 5.46, 13.37, 1.59, 1.82, 7.78, repro,
2011-05-08,1.68, 5.55, 14.65, 1.63, 1.93, 8.18, repro,
2011-05-09,-1.08, 5.97, 15.06, 1.59, 1.81, 7.79, repro,
2011-05-10,0.32, 3.87, 14.84, 1.6, 1.83, 7.82, repro,
2011-05-11,0.92, 3.83, 13.71, 1.61, 1.84, 7.87, repro,
2011-05-12,1.10, 6.83, 15.17, 1.6, 1.82, 7.78, repro,
2011-05-13,1.83, 5.77, 4.43, 1.69, 1.96, 8.3, repro,
2011-05-14,0.54, 8.77, -0.25, 1.64, 1.99, 8.12, repro,
2011-05-15,0.12, 6.38, 10.64, 1.68, 2, 8.1, repro,
2011-05-16,-0.34, 5.64, 14.18, 1.8, 2.21, 8.73, repro,
2011-05-17,0.55, 8.11, 18.73, 1.98, 2.59, 9.92, repro,
2011-05-18,-0.42, 7.61, 7.66, 1.69, 2, 8.33, repro,
2011-05-19,-2.30, 5.06, 3.43, 1.8, 2.16, 8.77, repro,
2011-05-20,-1.87, 6.25, 8.30, 1.77, 2.12, 8.6, repro,
2011-05-21,0.77, 3.89, 19.48, 1.7, 2.01, 8.39, repro,
2011-05-22,1.10, 6.62, 23.60, 1.7, 2.08, 8.39, repro,
2011-05-23,0.85, 6.65, 26.22, 1.7, 1.97, 8.46, repro,
2011-05-24,0.44, 7.30, 20.68, 1.69, 1.98, 8.47, repro,
2011-05-25,0.53, 6.39, 12.51, 1.64, 1.98, 8.29, repro,
2011-05-26,1.16, 7.00, 7.62, 1.7, 1.96, 8.52, repro,
2011-05-27,-0.18, 6.14, 10.16, 1.75, 2.01, 8.92, repro,
2011-05-28,1.57, 7.16, 2.72, 1.7, 2.07, 8.6, repro,
2011-05-29,1.05, 6.60, 7.59, 1.65, 2.05, 8.32, repro,
2011-05-30,2.10, 5.35, 16.78, 1.66, 1.98, 8.42, repro,
2011-05-31,-0.53, 7.55, 4.15, 1.73, 2.06, 8.75, repro,
2011-06-01,0.61, 11.03, 3.39, 1.74, 2.16, 8.69, repro,
2011-06-02,0.38, 6.89, 17.36, 1.7, 1.98, 8.41, repro,
2011-06-03,0.30, 6.10, 8.50, 1.6, 1.95, 7.87, repro,
2011-06-04,0.41, 5.95, 17.42, 1.62, 1.96, 7.96, repro,
2011-06-05,0.31, 6.63, 16.29, 1.87, 2.17, 8.9, repro,
2011-06-06,1.60, 5.34, 1.15, 1.69, 2, 8.14, repro,
2011-06-07,0.26, 9.44, 18.06, 1.63, 1.9, 8, repro,
2011-06-08,1.39, 4.99, 18.55, 1.84, 2.15, 9.05, repro,
2011-06-09,2.36, 6.74, 13.72, 1.59, 1.84, 7.82, repro,
2011-06-10,1.33, 7.43, 16.42, 1.6, 1.88, 7.53, repro,
2011-06-11,0.17, 6.99, 15.85, 1.62, 1.86, 7.94, repro,
2011-06-12,-0.53, 7.11, 9.45, 1.58, 1.83, 7.64, repro,
2011-06-13,1.03, 6.54, 9.62, 1.58, 1.84, 7.66, repro,
2011-06-14,0.74, 6.15, 12.53, 1.66, 1.96, 8, repro,
2011-06-15,2.79, 6.24, 15.97, 1.57, 1.9, 7.7, repro,
2011-06-16,2.35, 6.55, 18.88, 1.65, 1.94, 7.92, repro,
2011-06-17,2.33, 6.02, 5.83, 1.64, 1.92, 8.03, repro,
2011-06-18,3.84, 8.08, 27.10, 1.61, 1.85, 7.92, repro,
2011-06-19,4.99, 4.31, 19.37, 1.66, 1.94, 8.01, repro,
2011-06-20,1.01, 7.58, 4.00, 1.64, 1.89, 8.04, repro,
2011-06-21,1.96, 6.56, 6.08, 1.61, 1.91, 7.95, repro,
