"abreviatura","pregunta"
"acade","Grupo Socio-Económico"
"agrie","Principales problemas de su barrio o comunidad: ¿La educación?"
"aleir","Principales problemas de su barrio o comunidad: ¿La salud?"
"arqco","Principales problemas de su barrio o comunidad: ¿La acumulación de basura?"
"cindy","Principales problemas de su barrio o comunidad: ¿La corrupción?"
"franc","A qué cree que se debe la delincuencia en el país: ¿A la falta de lugares para practicar deportes?"
"geora","A qué cree que se debe la delincuencia en el país: ¿Otra causa?"
"hoyod","Principales problemas de su barrio o comunidad: ¿Otro problema?"
"ingan","A qué cree usted que se debe la delincuencia en su barrio o comunidad: ¿Otra causa?"
"ingdi","Principales problemas de su barrio o comunidad: ¿El costo de la vida?"
"itac9","Sexo del jefe(a) del hogar"
"ivanv","Principales problemas de su barrio o comunidad: ¿La delincuencia?"
"lbine","Desde noviembre del año pasado hasta la fecha, ¿Alguna de las personas de este hogar tuvo un accidente de tránsito mientra conducía un vehículo, motor o bicicleta?"
"leona","Principales problemas de su barrio o comunidad: ¿Calles, aceras y contenes en mal estado?"
"magda","Desde noviembre del año pasado a la fecha ¿Alguna de las personas de este hogar fue atropellada por un vehículo, motor o bicicleta mientras caminaba o estaba parada en un lugar?"
"maryj","Principales problemas de su barrio o comunidad: ¿No hay problemas en el barrio o comunidad?"
"masue","A qué cree usted que se debe la delincuencia en su barrio o comunidad: ¿Educación familiar/falta de valores?"
"mmvol","Principales problemas de su barrio o comunidad: ¿La venta de drogas?"
"naui2","A qué cree usted que se debe la delincuencia en su barrio o comunidad: ¿A la falta de oportunidades para estudiar?"
"rober","A qué cree usted que se debe la delincuencia en el país: ¿A la venta de drogas?"
"wilne","A qué cree que se debe la delincuencia en el país: ¿A la falta de oportunidades para estudiar?"
"yoenn","A qué cree que se debe la delincuencia en el país: ¿Al consumo de drogas?"
